university,ouac_code,program_name,status,admission_grade,admission_date,supplemental_required,supp_notes,comments
Carleton,COD,"Computer Science, Co-op (Artificial Intelligence and Machine Learning)",Offer,,12/11/2025,,,"12k$ entrance scholarship, 93 top 6 84 overall average CEGEP"
Carleton,COD,"Computer Science, Co-op",Offer,86.3,1/7/2026,,I was a part of the robotics and chess club at my school. I also did some small side projects at home like making a website using Wix and creating a roblox game.,I didn't take IB or AP cuz normal classes at my high school were already tough.
Carleton,COD,Computer Science,Offer,92.33,1/15/2026,,,"IBDP, 12k scholarship(3k renewable)"
Carleton,COD,"Computer Science, Co-op (Artificial Intelligence and Machine Learning)",Offer,87.67,1/21/2026,,,
Carleton,COD,Computer Science,Offer,85.3,4/27/2026,,,
Carleton,CPX,Public Affairs and Policy Management,Offer,93.5,10/15/2025,,,
Carleton,CPX,Public Affairs and Policy Management,Offer,93.4,10/23/2025,,,"IB courses, resulted in me already having 2 grade courses/credits by the end of gr 11."
Carleton,CPX,Public Affairs and Policy Management,Offer,90,10/23/2025,,,
Carleton,CPX,Public Affairs and Policy Management,Offer,95,11/7/2025,,,
Carleton,CPX,Public Affairs and Policy Management,Offer,98,11/11/2025,,,
Carleton,CPX,Public Affairs and Policy Management,Offer,95.2,11/12/2025,,,
Carleton,CPX,"Public Affairs and Policy Management, Specialization in International Policy Studies (International Relations and Conflict)",Offer,95,11/12/2025,,,"AP exams and IB Diploma, francophone school"
Carleton,CPX,Public Affairs and Policy Management,Offer,94,11/12/2025,,,
Carleton,CPX,Public Affairs and Policy Management,Offer,94.11,12/9/2025,,,
Carleton,CPX,Public Affairs and Policy Management (Public Policy & Administration: Economic Policy (co-op optional)),Offer,84,1/12/2026,,,
Carleton,CPX,Public Affairs and Policy Management,Offer,88,1/15/2026,,,
Carleton,CR,Architectural Studies: Design,Offer,97.5,3/26/2026,,"12 piece portfolio, as well as coming up with a theme that unifies these pieces.",$16k scholarship
Carleton,CR,Architectural Studies: Design,Deferred,85,3/30/2026,,,Deferred to alternate choice: Carleton University - Engineering: Architectural Conservation & Sustainability
Carleton,CR,Architectural Studies: Design,Deferred,89,3/31/2026,,,Deferred to History and Theory of Architecture (HTA)
Carleton,CRC,Architectural Studies: Conservation & Sustainability,Offer,90,3/26/2026,,"Was pretty easy, if you need info text me on inst: quxiwez",good luck buddies!
Carleton,CRU,Architectural Studies: Urbanism,Offer,90,3/27/2026,,Pretty easy guys,GOOD LUCK EVERYONE
Carleton,CSD,Data Science,Offer,90,11/5/2025,,,
Carleton,CT,"Science: Geomatics, Co-operative Education",Offer,92.33,10/28/2025,,,"IB Courses; $16k scholarship ($4k in first year, renewable)"
Carleton,CT,Science: Biochemistry,Offer,92,11/11/2025,,,
Carleton,CT,Science: Physics (Experimental),Offer,95.67,1/13/2026,,,
